customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,AvgMonthlySpend,ServiceCount,HasInternetService
8191-XWSZG,Female,0.0,No,No,0.7222222222222223,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.023880597014925342,1022.95,No,1416.3923076923077,0,0
9959-WOFKT,Male,0.0,No,Yes,0.9861111111111112,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),0.8800995024875622,7382.25,No,7486.225352112676,4,1
4190-MFLUW,Female,0.0,Yes,Yes,0.13888888888888895,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),0.36766169154228856,528.35,Yes,3804.1199999999985,2,1
4183-MYFRB,Female,0.0,No,No,0.29166666666666674,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0.7144278606965173,1862.9,No,6387.085714285713,3,1
1680-VDCWW,Male,0.0,Yes,No,0.16666666666666669,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0.015422885572139333,202.25,No,1213.4999999999998,0,0
1066-JKSGK,Male,0.0,No,No,0.013888888888888895,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.018905472636815912,20.15,Yes,1450.7999999999993,0,0
3638-WEABW,Female,0.0,Yes,No,0.8055555555555556,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),0.4144278606965174,3505.1,No,4351.1586206896545,2,1
6322-HRPFA,Male,0.0,Yes,Yes,0.6805555555555556,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),0.41144278606965173,2970.3,No,4364.522448979592,3,1
6865-JZNKO,Female,0.0,No,No,0.4166666666666667,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.3686567164179104,1530.6,No,3673.4399999999996,2,1
6467-CHFZW,Male,0.0,Yes,Yes,0.6527777777777778,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8069651741293531,4749.15,Yes,7275.293617021276,3,1
8665-UTDHZ,Male,0.0,Yes,Yes,0.013888888888888895,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,0.11890547263681595,30.2,Yes,2174.399999999999,1,1
5248-YGIJN,Male,0.0,Yes,No,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.7164179104477612,6369.45,No,6369.45,6,1
8773-HHUOZ,Female,0.0,No,Yes,0.23611111111111116,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,0.4621890547263682,1093.1,Yes,4629.5999999999985,2,1
6827-IEAUQ,Female,0.0,Yes,Yes,0.37500000000000006,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,0.4766169154228856,1874.45,No,4998.533333333333,4,1
7310-EGVHZ,Male,0.0,No,No,0.013888888888888895,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),0.01940298507462679,20.2,No,1454.3999999999994,0,0
6234-RAAPL,Female,0.0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),0.8124378109452737,7251.7,No,7251.7,4,1
6047-YHPVI,Male,0.0,No,No,0.06944444444444453,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5119402985074627,316.9,Yes,4563.359999999994,0,1
6572-ADKRS,Female,0.0,No,No,0.638888888888889,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),0.562686567164179,3548.3,No,5553.860869565217,1,1
5380-WJKOV,Male,0.0,No,No,0.47222222222222227,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8766169154228854,3549.25,Yes,7516.058823529411,4,1
8168-UQWWF,Female,0.0,No,No,0.1527777777777778,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.7920398009950248,1105.4,Yes,7235.345454545454,3,1
8865-TNMNX,Male,0.0,Yes,Yes,0.13888888888888895,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,0.3114427860696517,475.7,No,3425.0399999999986,1,1
9489-DEDVP,Female,0.0,Yes,Yes,0.9722222222222223,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),0.5069651741293533,4872.35,No,5011.5599999999995,3,1
9867-JCZSP,Female,0.0,Yes,Yes,0.23611111111111116,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.02487562189054726,418.25,No,1771.411764705882,0,0
4671-VJLCL,Female,0.0,No,No,0.875,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0.6129353233830844,4861.45,No,5555.942857142857,5,1
4080-IIARD,Female,0.0,Yes,No,0.18055555555555558,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,0.5766169154228855,981.45,No,5435.723076923076,4,1
3714-NTNFO,Female,0.0,No,No,0.6805555555555556,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.6592039800995024,3906.7,No,5740.457142857143,1,1
5948-UJZLF,Male,0.0,No,No,0.02777777777777779,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,0.30845771144278605,97.0,No,3491.9999999999986,1,1
7760-OYPDY,Female,0.0,No,No,0.02777777777777779,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.6208955223880597,144.15,Yes,5189.399999999998,1,1
7639-LIAYI,Male,0.0,No,No,0.7222222222222223,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.6119402985074627,4217.8,No,5840.030769230769,4,1
2954-PIBKO,Female,0.0,Yes,Yes,0.9583333333333334,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),0.4567164179104478,4254.1,No,4439.060869565217,3,1
9420-LOJKX,Female,0.0,No,No,0.20833333333333337,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.8044776119402984,1426.4,Yes,6846.719999999999,4,1
8769-KKTPH,Female,0.0,Yes,Yes,0.875,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),0.8099502487562189,6311.2,No,7212.8,3,1
3957-SQXML,Female,0.0,Yes,Yes,0.47222222222222227,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.06666666666666665,894.3,No,1893.811764705882,0,0
5954-BDFSG,Female,0.0,No,No,1.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.8880597014925373,7853.7,No,7853.7,4,1
0434-CSFON,Female,0.0,Yes,No,0.6527777777777778,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8184079601990049,4707.1,No,7210.876595744681,3,1
1215-FIGMP,Male,0.0,No,No,0.8333333333333333,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0.7129353233830846,5450.7,No,6540.84,2,1
0526-SXDJP,Male,0.0,Yes,No,1.0,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),0.23731343283582088,2962.0,No,2962.0,3,1
0557-ASKVU,Female,0.0,Yes,Yes,0.25,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),0.3597014925373134,957.1,No,3828.4,2,1
5698-BQJOH,Female,0.0,No,No,0.12500000000000006,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0.7577114427860696,857.25,Yes,6857.999999999997,2,1
5122-CYFXA,Female,0.0,No,No,0.041666666666666685,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.5676616915422885,244.1,No,5858.399999999997,4,1
8627-ZYGSZ,Male,0.0,Yes,No,0.6527777777777778,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,0.6034825870646766,3650.35,No,5592.025531914894,1,1
3410-YOQBQ,Female,0.0,No,No,0.4305555555555556,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,0.6064676616915423,2497.2,No,5799.948387096773,5,1
3170-NMYVV,Female,0.0,Yes,Yes,0.6944444444444445,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.018905472636815912,930.9,No,1340.4959999999999,0,0
7410-OIEDU,Male,0.0,No,No,0.13888888888888895,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,0.6129353233830844,887.35,No,6388.919999999997,2,1
2273-QCKXA,Male,0.0,No,No,0.013888888888888895,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,0.30646766169154227,49.05,No,3531.599999999998,1,1
0731-EBJQB,Female,0.0,Yes,Yes,0.7222222222222223,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,0.021393034825870627,1090.65,No,1510.1307692307691,0,0
8028-PNXHQ,Male,0.0,Yes,Yes,0.8611111111111112,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.05970149253731344,1424.6,No,1654.374193548387,0,0
5630-AHZIL,Female,0.0,No,Yes,0.041666666666666685,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),0.46019900497512434,177.4,No,4257.5999999999985,3,1
6416-JNVRK,Female,0.0,No,No,0.638888888888889,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),0.37213930348258706,2688.85,No,4208.634782608695,1,1
5590-ZSKRV,Female,0.0,Yes,Yes,0.11111111111111116,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,0.3621890547263681,482.25,No,4340.249999999998,2,1
3887-PBQAO,Female,0.0,Yes,Yes,0.625,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),0.07611940298507458,1216.6,No,1946.56,0,0
5919-TMRGD,Female,0.0,No,Yes,0.013888888888888895,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.607960199004975,79.35,Yes,5713.199999999997,1,1
8108-UXRQN,Female,0.0,Yes,Yes,0.1527777777777778,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0.3213930348258706,565.35,No,3700.4727272727273,3,1
9191-MYQKX,Female,0.0,Yes,No,0.09722222222222221,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.5661691542288557,496.9,Yes,5110.971428571429,1,1
9919-YLNNG,Female,0.0,No,No,0.5833333333333334,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.8512437810945273,4327.5,No,7418.571428571428,5,1
0318-ZOPWS,Female,0.0,Yes,No,0.6805555555555556,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.018905472636815912,973.35,No,1430.2285714285715,0,0
4445-ZJNMU,Male,0.0,No,No,0.12500000000000006,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.8064676616915423,918.75,No,7349.999999999996,3,1
4808-YNLEU,Female,0.0,Yes,No,0.48611111111111116,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),0.4368159203980099,2215.45,No,4557.497142857142,2,1
1862-QRWPE,Female,0.0,Yes,Yes,0.6666666666666667,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.023880597014925342,1057.0,No,1585.4999999999998,0,0
2796-NNUFI,Female,0.0,Yes,Yes,0.638888888888889,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0.016915422885572073,927.1,No,1451.1130434782608,0,0
3016-KSVCP,Male,0.0,Yes,No,0.4027777777777778,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,0.15422885572139305,1009.25,No,2505.7241379310344,1,1
4767-HZZHQ,Male,0.0,Yes,Yes,0.4166666666666667,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),0.6348258706467661,2570.2,No,6168.48,2,1
7233-PAHHL,Male,0.0,Yes,Yes,0.9166666666666667,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,0.654228855721393,5714.25,No,6233.727272727272,5,1
6067-NGCEU,Female,0.0,No,No,0.9027777777777779,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.9233830845771143,7107.0,No,7872.36923076923,5,1
9848-JQJTX,Male,0.0,No,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.8223880597014925,7459.05,No,7459.05,4,1
8637-XJIVR,Female,0.0,No,No,0.16666666666666669,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.6039800995024875,927.35,Yes,5564.099999999999,1,1
9803-FTJCG,Male,0.0,Yes,Yes,0.9861111111111112,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),0.4835820895522387,4748.7,No,4815.583098591549,3,1
0278-YXOOG,Male,0.0,No,No,0.06944444444444453,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.027860696517412964,113.85,Yes,1639.4399999999978,0,0
3212-KXOCR,Male,0.0,No,No,0.7222222222222223,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.027363184079602032,1107.2,No,1533.0461538461536,0,0
6380-ARCEH,Male,0.0,No,No,0.013888888888888895,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.01940298507462679,20.2,No,1454.3999999999994,0,0
3679-XASPY,Female,0.0,Yes,Yes,0.013888888888888895,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,0.011940298507462643,19.45,No,1400.3999999999994,0,0
7123-WQUHX,Male,0.0,No,No,0.5277777777777778,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),0.763681592039801,3605.6,No,6831.663157894736,3,1
3192-NQECA,Male,0.0,Yes,No,0.9444444444444444,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.9129353233830846,7611.85,Yes,8059.605882352942,5,1
6180-YBIQI,Male,0.0,No,No,0.06944444444444453,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,0.060199004975124426,100.2,No,1442.8799999999983,0,1
6728-DKUCO,Female,0.0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,0.8547263681592039,7303.05,No,7303.05,4,1
9750-BOOHV,Female,0.0,No,No,0.4444444444444445,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,0.11840796019900496,927.65,No,2087.2124999999996,1,1
8597-CWYHH,Male,0.0,No,No,0.5972222222222223,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,0.7572139303482586,3921.3,No,6565.897674418604,2,1
2848-YXSMW,Male,0.0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.011442786069651711,1363.25,No,1363.25,0,0
0486-HECZI,Male,0.0,Yes,No,0.7638888888888888,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.781094527363184,5238.9,Yes,6858.1963636363635,3,1
4549-ZDQYY,Female,0.0,No,No,0.7222222222222223,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),0.39502487562189054,3042.25,No,4212.346153846153,3,1
5712-AHQNN,Female,0.0,No,No,0.5972222222222223,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.7303482587064677,3954.1,No,6620.818604651162,3,1
5256-SKJGO,Female,0.0,Yes,Yes,0.888888888888889,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,0.3616915422885572,3423.5,No,3851.4374999999995,4,1
3071-VBYPO,Male,0.0,Yes,Yes,0.041666666666666685,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,0.7124378109452736,248.4,No,5961.599999999998,3,1
9560-BBZXK,Female,0.0,No,No,0.5,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),0.12736318407960195,1126.35,No,2252.7,1,1
5299-RULOA,Female,0.0,Yes,Yes,0.13888888888888895,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8159203980099502,1064.65,Yes,7665.479999999997,3,1
8402-OOOHJ,Female,0.0,No,No,0.5694444444444445,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.023880597014925342,835.15,No,1466.6048780487802,0,0
9445-ZUEQE,Male,0.0,Yes,Yes,0.37500000000000006,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),0.6661691542288557,2151.6,No,5737.5999999999985,2,1
1091-SOZGA,Female,0.0,Yes,Yes,0.7777777777777778,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),0.8114427860696516,5515.45,No,7091.2928571428565,3,1
2928-HLDBA,Female,0.0,No,No,0.08333333333333343,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.024378109452736274,112.75,No,1352.9999999999984,0,0
0404-SWRVG,Male,0.0,No,No,0.041666666666666685,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5587064676616915,229.55,Yes,5509.199999999998,0,1
6497-TILVL,Female,0.0,Yes,Yes,0.09722222222222221,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,0.32288557213930347,350.35,No,3603.600000000001,1,1
7219-TLZHO,Female,0.0,Yes,Yes,0.05555555555555558,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.02587064676616918,62.9,No,1132.1999999999994,0,0
4622-YNKIJ,Male,0.0,No,No,0.45833333333333337,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,0.7034825870646766,3027.65,No,6605.7818181818175,3,1
6734-PSBAW,Male,0.0,Yes,No,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.052736318407960225,1723.95,No,1723.95,0,0
3930-ZGWVE,Male,0.0,No,No,0.013888888888888895,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.014925373134328346,19.75,No,1421.9999999999993,0,0
2876-GZYZC,Female,0.0,No,No,0.18055555555555558,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.6736318407960199,1215.65,No,6732.830769230769,1,1
6207-WIOLX,Female,0.0,Yes,Yes,0.34722222222222227,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.4014925373134328,1502.65,Yes,4327.632,5,1
8587-XYZSF,Male,0.0,No,No,0.9305555555555556,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),0.3213930348258706,3260.1,No,3503.391044776119,1,1
3091-FYHKI,Male,0.0,No,No,0.013888888888888895,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.17114427860696518,35.45,Yes,2552.399999999999,1,1
2372-HWUHI,Male,0.0,No,No,0.02777777777777779,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.25970149253731345,81.25,Yes,2924.9999999999986,0,1
7799-LGRDP,Female,0.0,No,No,0.5972222222222223,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.0741293532338308,1188.2,No,1989.5441860465114,0,0
7850-VWJUU,Female,0.0,No,No,0.3194444444444445,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.5646766169154228,1778.5,No,5567.478260869565,1,1
3774-VBNXY,Female,0.0,Yes,Yes,0.888888888888889,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.01940298507462679,1277.75,No,1437.46875,0,0
6217-KDYWC,Male,0.0,No,Yes,0.7916666666666667,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0.01343283582089555,1170.55,No,1478.5894736842104,0,0
4080-OGPJL,Female,0.0,No,No,0.11111111111111116,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,0.5263681592039802,563.65,Yes,5072.849999999998,3,1
1095-WGNGG,Female,0.0,Yes,No,0.8472222222222223,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.8238805970149252,5971.25,No,7048.0327868852455,3,1
2636-SJDOU,Male,0.0,No,No,0.888888888888889,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),0.6572139303482586,5289.05,No,5950.18125,2,1
5716-EZXZN,Female,0.0,Yes,Yes,0.9027777777777779,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),0.8039800995024875,6416.7,No,7107.72923076923,4,1
6837-BJYDQ,Male,0.0,No,No,0.041666666666666685,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0.01343283582089555,61.35,No,1472.3999999999994,0,0
2135-RXIHG,Male,0.0,No,No,0.013888888888888895,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.272636815920398,45.65,Yes,3286.7999999999984,0,1
6440-DKQGE,Male,0.0,No,Yes,0.4166666666666667,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),0.46019900497512434,1929.95,No,4631.88,3,1
3466-BYAVD,Male,0.0,Yes,Yes,0.20833333333333337,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,0.5099502487562189,1071.4,No,5142.719999999999,4,1
3780-YVMFA,Female,0.0,Yes,Yes,0.11111111111111116,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.5004975124378108,564.35,No,5079.149999999998,3,1
